X,Y,OBJECTID,СТАТУ,ID,ОБЛАС,РАЙОН,Н__ПУН,АДРЕС,КАДАС,ЗАМОВ,КОНТА,Y,X,ПОСИЛ,X_1,Y_1,icon_url
30.5623961740001,50.0625210030001,"59",ГОТОВИЙ,"4704",Київська,Обухівський,поблизу с.Обухів,Обухів-Ленди С101612,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"50,062521002928506","30,562396174275882",I:\04 Геологічний\ІВ\ОБМІН\2020\07 ЛИПЕНЬ\4704_Обухів С101612_(ТОВ МЕРЕЖА ДОРІГ),30.56239617430,50.06252100290,./0.png
28.4160945190001,49.9780415010001,"60",ГОТОВИЙ,"4705",Житомирська,Бердичівський,поблизу с.Мирославка,Мирославка-Демчин С060313,Х,"ТОВ""Д І М""",Замана Ігор,"49,97804150138713","28,41609451851022",I:\04 Геологічний\ІВ\ОБМІН\2020\07 ЛИПЕНЬ\4705_Мирославка-Демчин,28.41609451850,49.97804150140,./0.png
29.5609437290001,49.9884899780001,"61",ГОТОВИЙ,"4706",Житомирська,Попільнянський,поблизу с.Квітневе,Квітневе-Єрчики С 061601,Х,"ТОВ""Д І М""",Замана Ігор,"49,988489977953904","29,560943729161654",I:\04 Геологічний\ІВ\ОБМІН\2020\07 ЛИПЕНЬ\4706_Квітневе-Єрчики,29.56094372920,49.98848997800,./0.png
28.2742092910001,50.4928336710001,"62",ГОТОВИЙ,"4707",Житомирська,Пулинський,поблизу с.Пулин,Пулини-В’язовець С061701,Х,"ТОВ""Д І М""",Замана Ігор,"50,49283367054268","28,274209291499076",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4707 Пулини-В'язовець,28.27420929150,50.49283367050,./0.png
28.89302059,49.9587189760001,"63",ГОТОВИЙ,"4708",Житомирська,Андрушівський,поблизу с.Висока Піч,Висока Піч-Червоне О060611,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"49,95871897550319","28,89302058964428",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4708 В_Піч-Червоне,28.89302058960,49.95871897550,./0.png
29.0294563790001,50.308305385,"64",ГОТОВИЙ,"4709",Житомирська,Коростишівський,поблизу м.Коростишів,Коростишів-Кошарища О060814,Х,"ТОВ ""ДОРОГИ І МОСТИ""",Замана Ігор,"50,30830538507135","29,029456379064627",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4709 Коростишів-Кошаріща,29.02945637910,50.30830538510,./0.png
29.3560994740001,50.7223419950001,"65",ГОТОВИЙ,"4710",Житомирська,Малинський,поблизу м.,Гранітне С061107,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"50,72234199507849","29,35609947380006",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4710 Українка-Вирва,29.35609947380,50.72234199510,./0.png
28.5387490030001,51.3120185910001,"66",ГОТОВИЙ,"4711",Житомирська,Овруцький,поблизу с.Папірня,Папірня-Кобилин С061441,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"51,31201859050996","28,538749003425615",I:\04 Геологічний\ІВ\ОБМІН\2020\05 ТРАВЕНЬ\4711 Папірня-Кобилин,28.53874900340,51.31201859050,./0.png
28.1986331360001,50.0959612820001,"67",ГОТОВИЙ,"4712",Житомирська,Чуднівський,поблизу с.Дриглів,Дриглів-Рижів С062313,Х,"ТОВ""МЕРЕЖА ДОРІГ""",Замана Ігор,"50,09596128219901","28,198633136266224",I:\04 Геологічний\ІВ\ОБМІН\2020\06 ЧЕРВЕНЬ\4712_Дриглів-Кихті,28.19863313630,50.09596128220,./0.png
30.5463642750001,50.7066372520001,"68",ГОТОВИЙ,"4726",Київська,Вишгородський,с.Лебедівка,"КМ ""Riviera Villas"" діл. 71",Х,ФО,Євген Череватов,"50,70663725171715","30,54636427513339",I:\04 Геологічний\ІВ\ОБМІН\2020\03 БЕРЕЗЕНЬ\4726 Лебедівка,30.54636427510,50.70663725170,./0.png
30.62726093,50.3973575250001,"69",ГОТОВИЙ,"4735",м.Київ,Дарницький,м.Київ,просп.Миколи Бажана,Х,"ТОВ ""СТАР БОРД""",Денис Шостак,"50,397357524980826","30,627260930155902","0",30.62726093020,50.39735752500,./0.png
5482946.174,5234702.969,"70",ГОТОВИЙ,"4740",Полтавська,Полтавський,м.Полтава,дорога,Х,ТОВ Сінк плюс міжнародна інжинірінгова і консалтінгова компанія,Яковенко Микола Петрович,"5234702,969","5482946,174",I:\04 Геологічний\ІВ\ОБМІН\2020\06 ЧЕРВЕНЬ\4740 звіт Ворскла лівий проїзд,5482946.17399999965,5234702.96899999958,./0.png
30.5071642620001,50.4924671750001,"71",ГОТОВИЙ,"4754",Київська,Оболонський,м.Київ,вул.Йорданська,Х,ДП ІНСТИТУТ КИЇВІНЖПРОЕКТ ТОВ ПК ПРОЕКТНИЙ КОМПЛЕКС,Марченко Микола Сергійович,"50,49246717464464","30,50716426207486","0",30.50716426210,50.49246717460,./0.png
